from_revision,from_code,to_revision,to_code,weight,note
H4,030326,H4,030326,1.0000,identity
H4,030329,H4,030329,1.0000,identity
H4,030331,H4,030331,1.0000,identity
H4,030332,H4,030332,1.0000,identity
H4,030333,H4,030333,1.0000,identity
H4,030334,H4,030334,1.0000,identity
H4,030339,H4,030339,1.0000,identity
H4,030341,H4,030341,1.0000,identity
H4,030342,H4,030342,1.0000,identity
H4,030343,H4,030343,1.0000,identity
H4,030344,H4,030344,1.0000,identity
H4,030345,H4,030345,1.0000,identity
H4,030346,H4,030346,1.0000,identity
H4,030349,H4,030349,1.0000,identity
H4,030351,H4,030351,1.0000,identity
H4,030353,H4,030353,1.0000,identity
H4,030354,H4,030354,1.0000,identity
H4,030355,H4,030355,1.0000,identity
H4,030356,H4,030356,1.0000,identity
H4,030357,H4,030357,1.0000,identity
H4,030363,H4,030363,1.0000,identity
H4,030364,H4,030364,1.0000,identity
H4,030365,H4,030365,1.0000,identity
H4,030366,H4,030366,1.0000,identity
H4,030367,H4,030367,1.0000,identity
H4,030368,H4,030368,1.0000,identity
H4,030369,H4,030369,1.0000,identity
H4,030381,H4,030381,1.0000,identity
H4,030382,H4,030382,1.0000,identity
H4,030383,H4,030383,1.0000,identity
H4,030384,H4,030384,1.0000,identity
H4,030389,H4,030389,1.0000,identity
H4,030390,H4,030390,1.0000,identity
H4,030431,H4,030431,1.0000,identity
H4,030432,H4,030432,1.0000,identity
H4,030433,H4,030433,1.0000,identity
H4,030439,H4,030439,1.0000,identity
H4,030441,H4,030441,1.0000,identity
H4,030442,H4,030442,1.0000,identity
H4,030443,H4,030443,1.0000,identity
H4,030444,H4,030444,1.0000,identity
H4,030445,H4,030445,1.0000,identity
H4,030446,H4,030446,1.0000,identity
H4,030449,H4,030449,1.0000,identity
H4,030451,H4,030451,1.0000,identity
H4,030452,H4,030452,1.0000,identity
H4,030453,H4,030453,1.0000,identity
H4,030454,H4,030454,1.0000,identity
H4,030455,H4,030455,1.0000,identity
H4,030459,H4,030459,1.0000,identity
H4,030461,H4,030461,1.0000,identity
H4,030462,H4,030462,1.0000,identity
H4,030463,H4,030463,1.0000,identity
H4,030469,H4,030469,1.0000,identity
H4,030471,H4,030471,1.0000,identity
H4,030472,H4,030472,1.0000,identity
H4,030473,H4,030473,1.0000,identity
H4,030474,H4,030474,1.0000,identity
H4,030475,H4,030475,1.0000,identity
H4,030479,H4,030479,1.0000,identity
H4,030481,H4,030481,1.0000,identity
H4,030482,H4,030482,1.0000,identity
H4,030483,H4,030483,1.0000,identity
H4,030484,H4,030484,1.0000,identity
H4,030485,H4,030485,1.0000,identity
H4,030486,H4,030486,1.0000,identity
H4,030487,H4,030487,1.0000,identity
H4,030489,H4,030489,1.0000,identity
H4,030491,H4,030491,1.0000,identity
H4,030492,H4,030492,1.0000,identity
H4,030493,H4,030493,1.0000,identity
H4,030494,H4,030494,1.0000,identity
H4,030495,H4,030495,1.0000,identity
H4,030499,H4,030499,1.0000,identity
H4,030510,H4,030510,1.0000,identity
H4,030520,H4,030520,1.0000,identity
H4,030531,H4,030531,1.0000,identity
H4,030532,H4,030532,1.0000,identity
H4,030539,H4,030539,1.0000,identity
H4,030541,H4,030541,1.0000,identity
H4,030542,H4,030542,1.0000,identity
H4,030543,H4,030543,1.0000,identity
H4,030544,H4,030544,1.0000,identity
H4,030549,H4,030549,1.0000,identity
H4,030551,H4,030551,1.0000,identity
H4,030559,H4,030559,1.0000,identity
H4,030561,H4,030561,1.0000,identity
H4,030562,H4,030562,1.0000,identity
H4,030563,H4,030563,1.0000,identity
H4,030564,H4,030564,1.0000,identity
H4,030569,H4,030569,1.0000,identity
H4,030571,H4,030571,1.0000,identity
H4,030572,H4,030572,1.0000,identity
H4,030579,H4,030579,1.0000,identity
H4,030611,H4,030611,1.0000,identity
H4,030612,H4,030612,1.0000,identity
H4,030614,H4,030614,1.0000,identity
H4,030615,H4,030615,1.0000,identity
H4,030616,H4,030616,1.0000,identity
H4,030617,H4,030617,1.0000,identity
H4,030619,H4,030619,1.0000,identity
H4,030621,H4,030621,1.0000,identity
H4,030622,H4,030622,1.0000,identity
H4,030624,H4,030624,1.0000,identity
H4,030625,H4,030625,1.0000,identity
H4,030626,H4,030626,1.0000,identity
H4,030627,H4,030627,1.0000,identity
H4,030629,H4,030629,1.0000,identity
H4,030711,H4,030711,1.0000,identity
H4,030719,H4,030719,1.0000,identity
H4,030721,H4,030721,1.0000,identity
H4,030729,H4,030729,1.0000,identity
H4,030731,H4,030731,1.0000,identity
H4,030739,H4,030739,1.0000,identity
H4,030741,H4,030741,1.0000,identity
H4,030749,H4,030749,1.0000,identity
H4,030751,H4,030751,1.0000,identity
H4,030759,H4,030759,1.0000,identity
H4,030760,H4,030760,1.0000,identity
H4,030771,H4,030771,1.0000,identity
H4,030779,H4,030779,1.0000,identity
H4,030781,H4,030781,1.0000,identity
H4,030789,H4,030789,1.0000,identity
H4,030791,H4,030791,1.0000,identity
H4,030799,H4,030799,1.0000,identity
H4,030811,H4,030811,1.0000,identity
H4,030819,H4,030819,1.0000,identity
H4,030821,H4,030821,1.0000,identity
H4,030829,H4,030829,1.0000,identity
H4,030830,H4,030830,1.0000,identity
H4,030890,H4,030890,1.0000,identity
H4,040110,H4,040110,1.0000,identity
H4,040120,H4,040120,1.0000,identity
H4,040140,H4,040140,1.0000,identity
H4,040150,H4,040150,1.0000,identity
H4,040210,H4,040210,1.0000,identity
H4,040221,H4,040221,1.0000,identity
H4,040229,H4,040229,1.0000,identity
H4,040291,H4,040291,1.0000,identity
H4,040299,H4,040299,1.0000,identity
H4,040310,H4,040310,1.0000,identity
H4,040390,H4,040390,1.0000,identity
H4,040410,H4,040410,1.0000,identity
H4,040490,H4,040490,1.0000,identity
H4,040510,H4,040510,1.0000,identity
H4,040520,H4,040520,1.0000,identity
H4,040590,H4,040590,1.0000,identity
H4,040610,H4,040610,1.0000,identity
H4,040620,H4,040620,1.0000,identity
H4,040630,H4,040630,1.0000,identity
H4,040640,H4,040640,1.0000,identity
H4,040690,H4,040690,1.0000,identity
H4,040711,H4,040711,1.0000,identity
H4,040719,H4,040719,1.0000,identity
H4,040721,H4,040721,1.0000,identity
H4,040729,H4,040729,1.0000,identity
H4,040790,H4,040790,1.0000,identity
H4,040811,H4,040811,1.0000,identity
H4,040819,H4,040819,1.0000,identity
H4,040891,H4,040891,1.0000,identity
H4,040899,H4,040899,1.0000,identity
H4,040900,H4,040900,1.0000,identity
H4,041000,H4,041000,1.0000,identity
H4,050100,H4,050100,1.0000,identity
H4,050210,H4,050210,1.0000,identity
H4,050290,H4,050290,1.0000,identity
H4,050400,H4,050400,1.0000,identity
H4,050510,H4,050510,1.0000,identity
H4,050590,H4,050590,1.0000,identity
H4,050610,H4,050610,1.0000,identity
H4,050690,H4,050690,1.0000,identity
H4,050710,H4,050710,1.0000,identity
H4,050790,H4,050790,1.0000,identity
H4,050800,H4,050800,1.0000,identity
H4,051000,H4,051000,1.0000,identity
H4,051110,H4,051110,1.0000,identity
H4,051191,H4,051191,1.0000,identity
H4,051199,H4,051199,1.0000,identity
H4,060110,H4,060110,1.0000,identity
H4,060120,H4,060120,1.0000,identity
H4,060210,H4,060210,1.0000,identity
H4,060220,H4,060220,1.0000,identity
H4,060230,H4,060230,1.0000,identity
H4,060240,H4,060240,1.0000,identity
H4,060290,H4,060290,1.0000,identity
H4,060311,H4,060311,1.0000,identity
H4,060312,H4,060312,1.0000,identity
H4,060313,H4,060313,1.0000,identity
H4,060314,H4,060314,1.0000,identity
H4,060315,H4,060315,1.0000,identity
H4,060319,H4,060319,1.0000,identity
H4,060390,H4,060390,1.0000,identity
H4,060420,H4,060420,1.0000,identity
H4,060490,H4,060490,1.0000,identity
H4,070110,H4,070110,1.0000,identity
H4,070190,H4,070190,1.0000,identity
H4,070200,H4,070200,1.0000,identity
H4,070310,H4,070310,1.0000,identity
H4,070320,H4,070320,1.0000,identity
H4,070390,H4,070390,1.0000,identity
H4,070410,H4,070410,1.0000,identity
H4,070420,H4,070420,1.0000,identity
H4,070490,H4,070490,1.0000,identity
H4,070511,H4,070511,1.0000,identity
H4,070519,H4,070519,1.0000,identity
H4,070521,H4,070521,1.0000,identity
H4,070529,H4,070529,1.0000,identity
H4,070610,H4,070610,1.0000,identity
H4,070690,H4,070690,1.0000,identity
H4,070700,H4,070700,1.0000,identity
H4,070810,H4,070810,1.0000,identity
H4,070820,H4,070820,1.0000,identity
H4,070890,H4,070890,1.0000,identity
H4,070920,H4,070920,1.0000,identity
H4,070930,H4,070930,1.0000,identity
H4,070940,H4,070940,1.0000,identity
H4,070951,H4,070951,1.0000,identity
H4,070959,H4,070959,1.0000,identity
H4,070960,H4,070960,1.0000,identity
H4,070970,H4,070970,1.0000,identity
H4,070991,H4,070991,1.0000,identity
H4,070992,H4,070992,1.0000,identity
H4,070993,H4,070993,1.0000,identity
H4,070999,H4,070999,1.0000,identity
H4,071010,H4,071010,1.0000,identity
H4,071021,H4,071021,1.0000,identity
H4,071022,H4,071022,1.0000,identity
H4,071029,H4,071029,1.0000,identity
H4,071030,H4,071030,1.0000,identity
H4,071040,H4,071040,1.0000,identity
H4,071080,H4,071080,1.0000,identity
H4,071090,H4,071090,1.0000,identity
H4,071120,H4,071120,1.0000,identity
H4,071140,H4,071140,1.0000,identity
H4,071151,H4,071151,1.0000,identity
H4,071159,H4,071159,1.0000,identity
H4,071190,H4,071190,1.0000,identity
H4,071220,H4,071220,1.0000,identity
H4,071231,H4,071231,1.0000,identity
H4,071232,H4,071232,1.0000,identity
H4,071233,H4,071233,1.0000,identity
H4,071239,H4,071239,1.0000,identity
H4,071290,H4,071290,1.0000,identity
H4,071310,H4,071310,1.0000,identity
H4,071320,H4,071320,1.0000,identity
H4,071331,H4,071331,1.0000,identity
H4,071332,H4,071332,1.0000,identity
H4,071333,H4,071333,1.0000,identity
H4,071334,H4,071334,1.0000,identity
H4,071335,H4,071335,1.0000,identity
H4,071339,H4,071339,1.0000,identity
H4,071340,H4,071340,1.0000,identity
H4,071350,H4,071350,1.0000,identity
H4,071360,H4,071360,1.0000,identity
H4,071390,H4,071390,1.0000,identity
H4,071410,H4,071410,1.0000,identity
H4,071420,H4,071420,1.0000,identity
H4,071430,H4,071430,1.0000,identity
H4,071440,H4,071440,1.0000,identity
H4,071450,H4,071450,1.0000,identity
H4,071490,H4,071490,1.0000,identity
H4,080111,H4,080111,1.0000,identity
H4,080112,H4,080112,1.0000,identity
H4,080119,H4,080119,1.0000,identity
H4,080121,H4,080121,1.0000,identity
H4,080122,H4,080122,1.0000,identity
H4,080131,H4,080131,1.0000,identity
H4,080132,H4,080132,1.0000,identity
H4,080211,H4,080211,1.0000,identity
H4,080212,H4,080212,1.0000,identity
H4,080221,H4,080221,1.0000,identity
H4,080222,H4,080222,1.0000,identity
H4,080231,H4,080231,1.0000,identity
H4,080232,H4,080232,1.0000,identity
H4,080241,H4,080241,1.0000,identity
H4,080242,H4,080242,1.0000,identity
H4,080251,H4,080251,1.0000,identity
H4,080252,H4,080252,1.0000,identity
H4,080261,H4,080261,1.0000,identity
H4,080262,H4,080262,1.0000,identity
H4,080270,H4,080270,1.0000,identity
H4,080280,H4,080280,1.0000,identity
H4,080290,H4,080290,1.0000,identity
H4,080310,H4,080310,1.0000,identity
H4,080390,H4,080390,1.0000,identity
H4,080410,H4,080410,1.0000,identity
H4,080420,H4,080420,1.0000,identity
H4,080430,H4,080430,1.0000,identity
H4,080440,H4,080440,1.0000,identity
H4,080450,H4,080450,1.0000,identity
H4,080510,H4,080510,1.0000,identity
H4,080520,H4,080520,1.0000,identity
H4,080540,H4,080540,1.0000,identity
H4,080550,H4,080550,1.0000,identity
H4,080590,H4,080590,1.0000,identity
H4,080610,H4,080610,1.0000,identity
H4,080620,H4,080620,1.0000,identity
H4,080711,H4,080711,1.0000,identity
H4,080719,H4,080719,1.0000,identity
